address,name,chainId
0xF4bF42c6D6A0E38825785048124DBAD6c9eaaac3,Lido Predeposit Guarantee,1
0xF45C77EadD434612fCD93db978B3E36B0D58eC99,Staking Node Operator,1
0x5FbE8cEf9CCc56ad245736D3C5bAf82ad54Ca789,Lido Staking Vault Beacon Proxy,1
0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,1
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH,1
0x4D2504c498bb7E63bCc7BC11F781d30D99B6febB,Payment Splitter Wrapper(YieldBoost),1
0xB8F5524D73f549Cf14A0587a3C7810723f9c0051,L1 Operational Safe,1
0xFC8769485986fE00760A40747d0D2207bc92c86D,L1 Deployer - March 2026,1
0x2b0F9C76970975aec03784EFd763623757EF7652,L2 Anchorer,59144
0x486D8cADc10489B30b64c890aEc747F1220eEEC3,Lido StVault Yield Provider,1
0xE4FC9F1A8cB97fEAd3C2b37c11AD5B1C2eF73959,Lido StVault Yield Provider Factory,1
0x2309C45d44105928b483f608dD6140Fb65f3EBde,Validator Container Proof Verifier,1
0xeb63cABDd78537b9b72A2AFB573F7caa91bd8D94,Yield Manager,1
0xcEE1f08Bcae342E950e88c209F7e6327ABB6d448,Yield Boost Automation Service,1
0x8b36A2355F1516A0F21F2FEce301F36692A23811,Burn and Bridge Submitter,59144
0x0200501DFf077b658D16757fA3090Ef9a08a2393,Revenue Invoice Submitter,59144
0x5Ad9369254F29b724d98F6ce98Cb7bAD729969F3,L1 Token Burner,1
0x30A20a3a9991c939290f4329cb52daac8e97F353,V3 Dex Swap Adapter,59144
0x9eAEaa37391e5140aa094C219Fa653DD6C6ba567,EAC Aggregator Proxy,59144
0x3aE6eA694A52748e517486B962250Eb20D98535d,Linea Sequencer Uptime Feed,59144
0xF0741738b8c978c800Fe45dddafCf7C9D0137b8E,Liveness FeedSender,59144
0x66355689a9f067eeb9dc9d899E4192676988279C,EIP-7002: Upgradable withdrawal request contract,59144
0xF0e003F0dE2d583Ae28FA8cBF66aa096CdAce3ff,EIP-7251: Upgradeable consolidation request contract,59144
0x94d4a7449B968b839dcbc64A61F195CA300986ae,Upgradeable Staking Deposit Contract,59144
0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,L2 Linea Token,59144
0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,L1 Linea Token,1
0x61b68A8c20Cb6C915474DCE803206a27bD0A80EB,Linea Consortium,59144
0xFD5FB23e06e46347d8724486cDb681507592e237,Rollup Revenue Vault,59144
0xB8F5524D73f549Cf14A0587a3C7810723f9c0051,L2 Linea Operational Safe,59144
0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f,WETH9,59144
0x52FF08F313A00A54e3Beffb5C4a7F7446eFb6754,L1 Finalization Operator EOA,1
0x46d2F319fd42165D4318F099E143dEA8124E9E3e,L1 Data Submission OperatorEOA,1
0x50130b669B28C339991d8676FA73CF122a121267,ENS Registry,59144
0xeCa8A765ebc86C95DDF8F0aAc4838454EA60cbeF,L2 ENS Reserved Safe,59144
0x407e548C453d57DD56Bf6A74D15D940ad793489e,L2 ENS Profanity Safe,59144
0x4761458bE94F60868F496BBAFDb2E0Abaa3231B6,L2 Finance Safe,59144
0x6D7A601bE312A3678E9d0577DF3A0b01e62aDABf,L1 FinanceSafe,1
0x49ee40140E522651744e1C27828c76eE92802833,L2 Deployer EOA,59144
0x6dD3120E329dC5FaA3d2Cf65705Ef4f6486F65F7,L1 Deployer EOA - DEPRECATED:DONOTUSE,1
0xc1C6B09D1eB6fCA0fF3cA11027E5Bc4AeDb47F67,L2AnchorerEOA -DEPRECATED:DONOTUSE,59144
0x46eA7a855DA88FBC09cc59de93468E6bFbf0d81b,L2 PostmanEOA,59144
0x46eA7a855DA88FBC09cc59de93468E6bFbf0d81b,L1 PostmanEOA,1
0xc808BfCBeD34D90fa9579CAa664e67B9A03C56ca,L2 Main Timelock Controller,59144
0xd6B95c960779c72B8C6752119849318E5d550574,L1 Main Timelock Controller,1
0x508Ca82Df566dCD1B0DE8296e70a96332cD644ec,L2 Message Service,59144
0xd19d4B5d358258f05D7B411E21A1460D11B0876F,L1 Message Service,1
0xf5cc7604a5ef3565b4D2050D65729A06B68AA0bD,L2 Main Security Council Safe,59144
0x0ECE76334Fb560f2b1a49A60e38Cf726B02203f0,Compound,59144
0x6bAA318CF7C51C76e17ae1EbE9Bbff96AE017aCB,ApeCoin,59144
0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F,wstETH,59144
0x5B16228B94b68C7cE33AF2ACc5663eBdE4dCFA2d,LINK,59144
0x37cc52fe20c2E13DD68728e0e595761a8cEad306,BUSD,59144
0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4,WBTC,59144
0x4AF15ec2A0BD43Db75dd04E62FAA3B8EF36b00d5,DAI,59144
0xA219439258ca9da29E9Cc4cE5596924745e12B93,USDT,59144
0xE798695d2e78f7caeb5BbF3385433959324c02c0,L2 Bridged Token Template,59144
0x353012dc4a9A6cF55c941bADC267f82004A8ceB9,L2 Token Bridge,59144
0x892bb7EeD71efB060ab90140e7825d8127991DD3,L1 Main Security Council Safe,1
0x971f46a2852d11D59dbF0909e837cfd06f357DeB,L1 Bridged Token Template,1
0x051F1D88f0aF5763fB888eC4378b4D8B29ea3319,L1 Token Bridge,1
